event_id,user_id,track_id,play_timestamp,device
1,302,53,9/20/2024 7:22,Tablet
2,632,324,6/18/2024 14:49,Tablet
3,919,139,10/22/2024 15:17,Mobile
4,871,427,2/1/2025 2:50,Web
5,624,252,7/16/2024 15:58,Desktop
6,923,88,9/24/2024 12:48,Desktop
7,107,330,1/7/2025 7:51,Mobile
8,328,215,9/8/2024 1:08,Web
9,740,267,9/28/2024 16:48,Desktop
10,231,13,6/7/2024 19:09,Web
11,206,15,12/8/2024 6:14,Desktop
12,854,16,9/21/2024 6:39,Tablet
13,616,374,11/27/2024 10:42,Desktop
14,854,123,10/7/2024 12:25,Tablet
15,548,177,10/3/2024 13:01,Desktop
16,926,8,2/21/2025 3:12,Mobile
17,478,246,12/7/2024 15:09,Tablet
18,23,452,2/15/2025 7:17,Desktop
19,961,158,8/31/2024 23:31,Desktop
20,58,76,4/30/2024 3:24,Mobile
21,620,299,8/15/2024 12:00,Desktop
22,779,454,6/8/2024 8:33,Desktop
23,461,120,5/17/2024 19:49,Web
24,392,474,7/20/2024 6:04,Desktop
25,479,115,4/9/2025 9:37,Mobile
26,731,12,2/9/2025 5:39,Desktop
27,785,31,7/25/2024 15:50,Web
28,193,363,7/14/2024 19:03,Web
29,178,105,11/2/2024 12:07,Desktop
30,799,422,6/29/2024 4:46,Web
31,546,417,4/9/2025 20:45,Mobile
32,963,136,8/10/2024 17:35,Tablet
33,853,381,11/5/2024 22:24,Mobile
34,303,253,8/30/2024 12:45,Desktop
35,134,396,12/20/2024 6:41,Mobile
36,646,121,10/11/2024 9:26,Tablet
37,107,200,11/6/2024 16:42,Mobile
38,299,288,1/26/2025 3:19,Desktop
39,154,274,8/18/2024 0:38,Desktop
40,856,445,4/19/2025 12:10,Tablet
41,744,54,11/2/2024 21:23,Web
42,614,428,1/2/2025 18:38,Web
43,389,16,1/22/2025 8:36,Desktop
44,13,330,3/18/2025 12:18,Mobile
45,800,314,8/27/2024 1:02,Desktop
46,170,275,11/8/2024 9:10,Mobile
47,191,280,6/24/2024 18:21,Mobile
48,926,65,5/12/2024 6:26,Tablet
49,21,180,12/20/2024 19:57,Mobile
50,917,316,9/5/2024 11:59,Desktop
51,773,85,7/26/2024 1:50,Web
52,384,288,4/13/2025 2:14,Tablet
53,20,209,2/3/2025 18:21,Mobile
54,819,134,8/22/2024 20:54,Tablet
55,781,433,6/6/2024 4:40,Tablet
56,445,235,5/7/2024 15:32,Mobile
57,399,134,3/24/2025 14:05,Mobile
58,831,262,10/31/2024 22:00,Mobile
59,996,205,8/20/2024 7:47,Mobile
60,794,231,7/14/2024 3:43,Web
61,972,438,2/10/2025 5:40,Tablet
62,265,130,6/5/2024 11:25,Tablet
63,624,262,8/14/2024 18:00,Mobile
64,228,146,10/19/2024 13:34,Web
65,384,260,5/23/2024 6:13,Mobile
66,696,209,8/25/2024 4:41,Tablet
67,371,78,1/30/2025 16:28,Tablet
68,207,199,9/30/2024 21:17,Web
69,481,49,12/4/2024 9:01,Tablet
70,151,173,9/4/2024 21:11,Tablet
